material_id,formula_pretty,density,energy_per_atom,efermi,energy_above_hull,band_gap,e_total,formula,data.Sᵉ.p.v.value,data.Sᵉ.p.T.value,data.σᵉ.p.v.value,data.σᵉ.p.T.value,data.κₑᵉ.p.v.value,data.κₑᵉ.p.T.value,ZT
mp-555976,Na2TiSiO5,2.993780537,-7.520115102,1.74990602,0.002697615,3.2081,9.54345958,Na2TiSiO5,1229.92,1200,861.811,100,0.202221,100,0.061185157
mp-773512,Tm2WO6,8.784817816,-9.064976385,1.82723413,0.010584637,3.7669,17.59888784,Tm2WO6,1268.94,1300,329.27,100,0.0394991,100,0.13649506
mp-753798,Rb2SnO3,4.617656664,-5.392299724,1.41725868,0,2.1213,63.65266906,Rb2SnO3,1221.93,800,802.542,100,0.16083,100,0.050509364
mp-23475,Rb2PbCl6,3.371127627,-3.569038647,-0.72108064,0,1.2605,10.19186692,Rb2PbCl6,1189.61,500,1215.34,100,0.205056,100,0.039802569
mp-569051,MgH2,1.611010108,-3.049236958,2.04069145,0.040386011,2.226,17.61379427,MgH2,1088.68,900,3613.18,100,0.660864,100,0.04832248
mp-8399,CsCdF3,5.28437944,-4.219596766,-1.36353217,0,3.2859,10.10664499,CsCdF3,1208.52,1300,2665.81,100,1.06218,200,0.039759167
mp-24181,CsGaP3HO10,3.198516146,-7.091828764,0.06151838,7.26E-05,4.6119,5.832943067,CsGaP3HO10,1273.52,1300,402.928,100,0.0678787,100,0.097898326
mp-767688,NaNdPCO7,2.894289597,-7.634626039,-0.9317066,0.095124963,0.1859,8.719874063,NaNdPCO7,816.809,100,3227.09,1300,0.643407,100,0.034027976
mp-9145,Rb2SnSe3,3.743982557,-3.880631027,0.42870755,0,1.6655,8.86277964,Rb2SnSe3,1182.98,600,1176.89,100,0.213265,100,0.041883177
mp-36033,PrOF,6.287764671,-7.957904167,1.53373412,0.05349302,5.1637,15.72982062,PrOF,1405.19,1300,539.907,100,0.0958143,100,0.113143217
mp-558118,BeF2,2.074922272,-6.072625006,-4.15878708,0.000822935,8.0867,3.413704827,BeF2,1342.84,1300,419.481,100,0.0859564,100,0.089485447
mp-5001,Li3BN2,1.731905208,-5.808930228,1.02868686,0,3.2058,10.20547897,Li3BN2,1235.7,1300,1112.04,300,0.207427,100,0.094342781
mp-9702,Sr3BPO3,3.754218343,-6.589790246,2.62252477,0,2.0101,13.73573386,Sr3BPO3,1177.26,800,2585.95,100,0.373709,100,0.065014448
mp-553243,YBi2BrO4,7.529211582,-6.863020457,3.70173793,0,1.34,26.37668197,YBi2BrO4,1113.21,600,2814.76,100,0.510095,100,0.037086259
mp-553243,YBi2BrO4,7.529211582,-6.863020457,3.70173793,0,1.34,26.37668197,YBi2BrO4,1113.21,600,2814.76,100,0.510095,100,0.037086259
mp-570744,Si3As4,4.117944328,-5.000196529,4.7228402,0.05890506,0.4047,17.67528467,Si3As4,933.559,200,8932.67,100,1.72483,100,0.012239314
mp-11115,RbCuPdSe5,5.030435548,-4.190077572,2.24964094,0,0.5743,13.47914384,RbCuPdSe5,1069.82,400,2854.95,100,0.616006,100,0.021575694
mp-10223,Na2PdS2,3.492715805,-4.254525345,2.20171611,0,0.9448,12.57770773,Na2PdS2,1122.76,400,1259.84,100,0.286067,100,0.022581422
mp-754739,CaBe3O4,2.731981784,-7.218087798,1.90646544,0.062518269,3.9112,15.14802019,CaBe3O4,1300.64,1300,1332.6,100,0.256076,100,0.089518942
mp-27047,Li2CuPO4,3.410372218,-6.441113889,4.15568221,0.055556775,1.4867,7.41746373,Li2CuPO4,1259,500,408.256,100,0.0615937,100,0.049856791
mp-18992,Ba2MnTeO6,6.335672264,-7.06359945,3.84469454,0,0.9486,19.07516278,Ba2MnTeO6,1048.45,400,3425.74,100,0.645184,100,0.023740838
mp-37267,NaYF4,4.126819557,-6.528181094,-1.09293307,0.012893875,7.3745,8.723706233,NaYF4,1376.55,1300,248.815,100,0.0358917,100,0.133578422
mp-763098,Li2MnF4,2.439817696,-5.93495763,-2.03465297,0.092832246,4.0065,4.486788707,Li2MnF4,1214.33,1300,197.72,100,0.00700016,600,0.564708879
mp-8127,K2Mg(CO3)2,2.649226492,-6.994458795,1.30990846,0,4.2989,7.062461417,K2Mg(CO3)2,1192.74,1300,1423.16,100,0.278629,100,0.073890529
mp-18498,Sr3YRhO6,5.666750031,-7.334560195,3.44904798,0,2.1512,15.31815808,Sr3YRhO6,1241.65,700,656.045,100,0.115883,100,0.053251682
